n,p,base_deg,split_deg,lcm_deg,factor_degs,factor_mults,DFT_order
5,347,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",1952284891355525051934707803587505878306053221723942209729738826489073548651885440
5,349,2,20*,10,[10],"[(10, 1)]",410648736108601108823034601754765777905137958296
5,353,4,32*,8,"[2, 8]","[(2, 1), (8, 1)]",12422862214816268161590255160521737643528766059454521562287503285807214716809920
5,359,2,20*,10,[10],"[(10, 1)]",878064622149327020754416926537817667420223001095
5,367,4,56*,14,"[1, 2, 7]","[(1, 1), (2, 1), (7, 1)]",11730433344916911717434344924071063360215945767204047568193844010297849678659703680
5,373,4,48*,12,"[3, 3, 4]","[(3, 1), (3, 1), (4, 1)]",52603175669205176780812988114246495843296556634656310616687680
5,379,2,16*,8,"[2, 8]","[(2, 1), (8, 1)]",181228860380824280385438438477587653801920
5,383,4,60*,15,"[1, 1, 3, 5]","[(1, 1), (1, 1), (3, 1), (5, 1)]",2135825026976805821009742339062020269533828215130763383580594622005388800
5,389,2,28*,14,"[1, 2, 7]","[(1, 1), (2, 1), (7, 1)]",274913768547015499960526489759947419784080
5,397,4,80*,20,"[1, 4, 5]","[(1, 1), (4, 1), (5, 1)]",36244008627267074096891107869809732940234107800205660521759385087087891475822296400
5,401,1,7,7,"[1, 1, 1, 7]","[(1, 1), (1, 1), (1, 1), (7, 1)]",1667287938243362800
5,409,2,16*,8,"[2, 8]","[(2, 1), (8, 1)]",613158747081871736694796283376344205805440
5,419,2,18*,9,"[1, 9]","[(1, 1), (9, 1)]",158435468857090504879482314342339950574787173640
5,421,1,6,6,"[2, 2, 6]","[(2, 1), (2, 1), (6, 1)]",1855971574002840
5,431,1,8,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",99228611704910922720
5,433,4,40*,10,[10],"[(10, 1)]",35403648115274077788973337785670922024283365820700370291489523586361268965037161686263120926033120
5,439,2,16*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",237871459289996085391647983571333784023120
5,443,4,24*,6,"[2, 2, 6]","[(2, 1), (2, 1), (6, 1)]",815885919226184780686126986627616780843117876662228316145505000
5,449,2,20*,10,"[1, 2, 2, 5]","[(1, 1), (2, 1), (2, 1), (5, 1)]",67136430382911037290610946016000
5,457,4,84*,21,"[3, 7]","[(3, 1), (7, 1)]",571456533667747252921281026114494015248895337421285059228394515987860773362990264485235671360800
5,461,1,6,6,"[1, 2, 2, 2, 3]","[(1, 1), (2, 1), (2, 1), (2, 1), (3, 1)]",45263147160
5,463,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",4972006883695496947865930018971337235057472432019193408253401571727124896556306779520
5,467,4,48*,12,"[4, 6]","[(4, 1), (6, 1)]",459478635243163264294840925779659621298971519246074158079010553459982993421781629120
5,479,2,24*,12,"[1, 2, 3, 4]","[(1, 1), (2, 1), (3, 1), (4, 1)]",48630283244034852241064568725760
5,487,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",100213621962779160453587800811425423829219044851903149493608515277802204234700950593280
5,491,1,9,9,"[1, 9]","[(1, 1), (9, 1)]",1658568561963902101824010
5,499,2,12*,6,"[1, 3, 6]","[(1, 1), (3, 1), (6, 1)]",79448425121640220926970005498000
6,5,2,20*,10,"[1, 1, 10]","[(1, 2), (10, 1)]",23841857910156
